ID Placówki;Nazwa Szpitala / Placówki;Miasto;Adres;Województwo;Segment;Status Relacji;Telefon;Email;Strona WWW;Szerokość GPS (Lat);Długość GPS (Lng);Liczba Oddziałów;Liczba Kontaktów (Lekarzy);Notatki;Data Utworzenia;Data Aktualizacji
hosp_19;SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ W MIĘDZYRZECU PODLASKIM;Międzyrzec Podlaski;ul. Warszawska 2-4, 21-560 Międzyrzec Podlaski;Lubelskie;C;prospect;+48 81 785 52 44;office@spzoz-midzyrzecpodlaski.pl;www.spzoz-midzyrzecpodlaski.pl;51.9833;22.7833;3;0;;2026-07-02T08:11:16.634Z;2026-08-15T08:11:16.634Z
hosp_2;WOJEWÓDZKI SZPITAL SPECJALISTYCZNY W BIAŁEJ PODLASKIEJ;Biała Podlaska;ul. Terebelska 57-65, 21-500 Biała Podlaska;Lubelskie;A;prospect;+48 81 956 91 59;office@spzoz-biaapodlaska.pl;www.spzoz-biaapodlaska.pl;52.0324;23.1166;6;6;;2026-07-19T08:11:16.634Z;2026-08-17T08:11:16.634Z
hosp_20;SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ W PARCZEWIE;Parczew;ul. Kościelna 136, 21-200 Parczew;Lubelskie;C;prospect;+48 81 814 59 28;office@spzoz-parczew.pl;www.spzoz-parczew.pl;51.6386;22.9053;3;0;;2026-07-01T08:11:16.634Z;2026-08-14T08:11:16.634Z
hosp_21;SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ W PUŁAWACH;Puławy;ul. Bema 1, 24-100 Puławy;Lubelskie;A;active;+48 81 474 92 54;office@spzoz-puawy.pl;www.spzoz-puawy.pl;51.4167;21.9667;5;0;;2026-06-30T08:11:16.634Z;2026-08-18T08:11:16.634Z
hosp_22;SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ W RADZYNIU PODLASKIM;Radzyń Podlaski;ul. Wisznicka 111, 21-300 Radzyń Podlaski;Lubelskie;C;key_account;+48 81 945 28 66;office@spzoz-radzypodlaski.pl;www.spzoz-radzypodlaski.pl;51.7833;22.6167;3;0;;2026-06-29T08:11:16.634Z;2026-08-17T08:11:16.634Z
hosp_23;SAMODZIELNY PUBLICZNY ZESPÓŁ OPIEKI ZDROWOTNEJ W SZCZEBRZESZYNIE;Szczebrzeszyn;ul. D-ra Zygmunta Klukowskiego 3, 22-460 Szczebrzeszyn;Lubelskie;C;prospect;+48 81 910 62 65;office@spzoz-szczebrzeszyn.pl;www.spzoz-szczebrzeszyn.pl;50.6944;22.9825;3;0;;2026-06-28T08:11:16.634Z;2026-08-16T08:11:16.634Z
hosp_24;SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ W ŚWIDNIKU;Świdnik;Aleja Lotników Polskich 18, 21-040 Świdnik;Lubelskie;C;prospect;+48 81 874 91 79;office@spzoz-widnik.pl;www.spzoz-widnik.pl;51.2222;22.6961;3;0;;2026-06-27T08:11:16.634Z;2026-08-15T08:11:16.634Z
hosp_25;SAMODZIELNY PUBLICZNY ZESPÓŁ OPIEKI ZDROWOTNEJ W TOMASZOWIE LUBELSKIM;Tomaszów Lubelski;Aleje Grunwaldzkie 1, 22-600 Tomaszów Lubelski;Lubelskie;C;inactive;+48 81 985 44 56;office@spzoz-tomaszwlubelski.pl;www.spzoz-tomaszwlubelski.pl;50.4478;23.42;3;0;;2026-06-26T08:11:16.634Z;2026-08-14T08:11:16.634Z
hosp_26;SAMODZIELNY PUBLICZNY ZESPÓŁ OPIEKI ZDROWOTNEJ WE WŁODAWIE;Włodawa;Al. Józefa Piłsudskiego 64, 22-200 Włodawa;Lubelskie;C;active;+48 81 508 11 39;office@spzoz-wodawa.pl;www.spzoz-wodawa.pl;51.55;23.55;3;0;;2026-06-25T08:11:16.634Z;2026-08-18T08:11:16.634Z
hosp_27;SAMODZIELNY PUBLICZNY SZPITAL WOJEWÓDZKI IM. PAPIEŻA JANA PAWŁA II W ZAMOŚCIU;Zamość;Aleje Jana Pawła 10, 22-400 Zamość;Lubelskie;A;prospect;+48 81 593 70 41;office@spzoz-zamo.pl;www.spzoz-zamo.pl;50.7167;23.2528;7;0;;2026-06-24T08:11:16.634Z;2026-08-17T08:11:16.634Z
hosp_28;SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ W AUGUSTOWIE;Augustów;ul. Szpitalna 12, 16-300 Augustów;Podlaskie;B;prospect;+48 85 661 28 55;office@spzoz-augustw.pl;www.spzoz-augustw.pl;53.8453;22.9803;4;5;;2026-06-23T08:11:16.634Z;2026-08-16T08:11:16.634Z
hosp_29;BIAŁOSTOCKIE CENTRUM ONKOLOGII IM. M. SKŁODOWSKIEJ-CURIE W BIAŁYMSTOKU;Białystok;ul. Ogrodowa 12, 15-027 Białystok;Podlaskie;A;key_account;+48 85 411 93 80;office@spzoz-biaystok.pl;www.spzoz-biaystok.pl;53.1325;23.151;6;6;;2026-06-22T08:11:16.634Z;2026-08-15T08:11:16.634Z
hosp_3;SAMODZIELNY PUBLICZNY WOJEWÓDZKI SZPITAL SPECJALISTYCZNY W CHEŁMIE;Chełm;ul. Szpitalna 53B, 22-100 Chełm;Lubelskie;B;prospect;+48 81 716 75 90;office@spzoz-chem.pl;www.spzoz-chem.pl;51.1317;23.4716;4;0;;2026-07-18T08:11:16.634Z;2026-08-16T08:11:16.634Z
hosp_30;NIEPUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ HUMANA MEDICA OMEDA;Białystok;ul. Fabryczna 39, 15-482 Białystok;Podlaskie;B;prospect;+48 85 613 60 26;office@spzoz-biaystok.pl;www.spzoz-biaystok.pl;53.119;23.178;4;3;;2026-06-21T08:11:16.634Z;2026-08-14T08:11:16.634Z
hosp_31;SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ MINISTERSTWA SPRAW WEWNĘTRZNYCH I ADMINISTRACJI W BIAŁYMSTOKU IM. MARIANA ZYNDRAMA-KOŚCIAŁKOWSKIEGO;Białystok;ul. Fabryczna 27, 15-471 Białystok;Podlaskie;B;active;+48 85 788 74 66;office@spzoz-biaystok.pl;www.spzoz-biaystok.pl;53.12;23.176;4;5;;2026-06-20T08:11:16.634Z;2026-08-18T08:11:16.634Z
hosp_32;SP ZOZ WOJEWÓDZKI SZPITAL ZESPOLONY IM. J. ŚNIADECKIEGO;Białystok;ul. M. Skłodowskiej-Curie 25, 15-950 Białystok;Podlaskie;B;prospect;+48 85 584 99 26;office@spzoz-biaystok.pl;www.spzoz-biaystok.pl;53.1358;23.145;4;3;;2026-06-19T08:11:16.634Z;2026-08-17T08:11:16.634Z
hosp_33;UNIWERSYTECKI DZIECIĘCY SZPITAL KLINICZNY IM. L. ZAMENHOFA W BIAŁYMSTOKU;Białystok;ul. Waszyngtona 17, 15-274 Białystok;Podlaskie;C;prospect;+48 85 333 97 31;office@spzoz-biaystok.pl;www.spzoz-biaystok.pl;53.1265;23.1585;3;0;;2026-06-18T08:11:16.634Z;2026-08-16T08:11:16.634Z
hosp_34;UNIWERSYTECKI SZPITAL KLINICZNY W BIAŁYMSTOKU;Białystok;ul. M.C. Skłodowskiej 24A, 15-276 Białystok;Podlaskie;A;prospect;+48 85 771 43 22;office@spzoz-biaystok.pl;www.spzoz-biaystok.pl;53.127;23.157;12;18;;2026-06-17T08:11:16.634Z;2026-08-15T08:11:16.634Z
hosp_35;SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ W BIELSKU PODLASKIM;Bielsk Podlaski;ul. Kleszczelowska 1, 17-100 Bielsk Podlaski;Podlaskie;C;prospect;+48 85 647 32 50;office@spzoz-bielskpodlaski.pl;www.spzoz-bielskpodlaski.pl;52.7667;23.1833;3;3;;2026-06-16T08:11:16.634Z;2026-08-14T08:11:16.634Z
hosp_36;SZPITAL OGÓLNY IM. DR WITOLDA GINELA W GRAJEWIE;Grajewo;ul. Konstytucji 3 Maja 34, 19-203 Grajewo;Podlaskie;C;active;+48 85 685 12 92;office@spzoz-grajewo.pl;www.spzoz-grajewo.pl;53.6472;22.45;3;2;;2026-06-15T08:11:16.634Z;2026-08-18T08:11:16.634Z
hosp_37;SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ W HAJNÓWCE;Hajnówka;ul. Doc. Adama Dowgirda 9, 17-200 Hajnówka;Podlaskie;C;inactive;+48 85 415 46 65;office@spzoz-hajnwka.pl;www.spzoz-hajnwka.pl;52.75;23.5833;3;3;;2026-06-14T08:11:16.634Z;2026-08-17T08:11:16.634Z
hosp_38;SZPITAL OGÓLNY W KOLNIE;Kolno;ul. Wojska Polskiego 69, 18-500 Kolno;Podlaskie;C;prospect;+48 85 479 47 46;office@spzoz-kolno.pl;www.spzoz-kolno.pl;53.4167;21.9333;3;0;;2026-06-13T08:11:16.634Z;2026-08-16T08:11:16.634Z
hosp_39;SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ W ŁAPACH;Łapy;ul. Korczaka 23, 18-100 Łapy;Podlaskie;C;prospect;+48 85 665 61 37;office@spzoz-apy.pl;www.spzoz-apy.pl;52.9833;22.8833;3;0;;2026-06-12T08:11:16.634Z;2026-08-15T08:11:16.634Z
hosp_4;6 SZPITAL WOJSKOWY Z PRZYCHODNIĄ SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ;Dęblin;ul. Szpitalna 2, 08-530 Dęblin;Lubelskie;C;prospect;+48 81 425 33 46;office@spzoz-dblin.pl;www.spzoz-dblin.pl;51.5596;21.8453;3;0;;2026-07-17T08:11:16.634Z;2026-08-15T08:11:16.634Z
hosp_40;SZPITAL WOJEWÓDZKI IM. KARDYNAŁA STEFANA WYSZYŃSKIEGO W ŁOMŻY;Łomża;ul. Marsz. Józefa Piłsudskiego 11, 18-404 Łomża;Podlaskie;B;prospect;+48 85 351 74 92;office@spzoz-oma.pl;www.spzoz-oma.pl;53.1758;22.0842;4;0;;2026-06-11T08:11:16.634Z;2026-08-14T08:11:16.634Z
hosp_41;SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ W MOŃKACH;Mońki;Aleja Niepodległości 9, 19-100 Mońki;Podlaskie;C;active;+48 85 787 90 43;office@spzoz-moki.pl;www.spzoz-moki.pl;53.4;22.8;3;0;;2026-06-10T08:11:16.634Z;2026-08-18T08:11:16.634Z
hosp_42;SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ W SEJNACH;Sejny;ul. Dr Edwarda Rittlera 1, 16-500 Sejny;Podlaskie;C;prospect;+48 85 904 47 35;office@spzoz-sejny.pl;www.spzoz-sejny.pl;54.1117;23.3553;3;0;;2026-06-09T08:11:16.634Z;2026-08-17T08:11:16.634Z
hosp_43;SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ W SIEMIATYCZACH;Siemiatycze;ul. Szpitalna 8, 17-300 Siemiatycze;Podlaskie;C;key_account;+48 85 621 41 69;office@spzoz-siemiatycze.pl;www.spzoz-siemiatycze.pl;52.4278;22.8611;3;0;;2026-06-08T08:11:16.634Z;2026-08-16T08:11:16.634Z
hosp_44;SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ W SOKÓŁCE;Sokółka;ul. Gen. Władysława Sikorskiego 40, 16-100 Sokółka;Podlaskie;C;prospect;+48 85 953 11 50;office@spzoz-sokka.pl;www.spzoz-sokka.pl;53.4047;23.4978;3;0;;2026-06-07T08:11:16.634Z;2026-08-15T08:11:16.634Z
hosp_45;SZPITAL WOJEWÓDZKI IM. DR. LUDWIKA RYDYGIERA W SUWAŁKACH;Suwałki;ul. Szpitalna 60, 16-400 Suwałki;Podlaskie;A;prospect;+48 85 212 66 34;office@spzoz-suwaki.pl;www.spzoz-suwaki.pl;54.1;22.9333;10;2;;2026-06-06T08:11:16.634Z;2026-08-14T08:11:16.634Z
hosp_46;SZPITAL OGÓLNY W WYSOKIEM MAZOWIECKIEM;Wysokie Mazowieckie;ul. Szpitalna 5, 18-200 Wysokie Mazowieckie;Podlaskie;C;active;+48 85 923 26 13;office@spzoz-wysokiemazowieckie.pl;www.spzoz-wysokiemazowieckie.pl;52.9167;22.5167;3;0;;2026-06-05T08:11:16.634Z;2026-08-18T08:11:16.634Z
hosp_47;SZPITAL POWIATOWY W ZAMBROWIE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;Zambrów;ul. Papieża J. Pawła II 3, 18-300 Zambrów;Podlaskie;C;prospect;+48 85 166 22 79;office@spzoz-zambrw.pl;www.spzoz-zambrw.pl;52.9833;22.25;3;0;;2026-06-04T08:11:16.634Z;2026-08-17T08:11:16.634Z
hosp_48;SZPITAL POWIATOWY IM. JANA PAWŁA II W BARTOSZYCACH;Bartoszyce;ul. Wyszyńskiego 11, 11-200 Bartoszyce;Warmińsko-Mazurskie;C;prospect;+48 89 958 20 94;office@spzoz-bartoszyce.pl;www.spzoz-bartoszyce.pl;54.2536;20.8089;3;0;;2026-06-03T08:11:16.634Z;2026-08-16T08:11:16.634Z
hosp_49;SZPITAL POWIATOWY IM. JANA MIKULICZA W BISKUPCU;Biskupiec;ul. Armii Krajowej 8, 11-300 Biskupiec;Warmińsko-Mazurskie;C;inactive;+48 89 846 18 44;office@spzoz-biskupiec.pl;www.spzoz-biskupiec.pl;53.8667;20.95;4;0;;2026-06-02T08:11:16.634Z;2026-08-15T08:11:16.634Z
hosp_5;SAMODZIELNY PUBLICZNY ZESPÓŁ OPIEKI ZDROWOTNEJ W HRUBIESZOWIE;Hrubieszów;ul. Józefa Piłsudskiego 11, 22-500 Hrubieszów;Lubelskie;C;prospect;+48 81 645 37 23;office@spzoz-hrubieszw.pl;www.spzoz-hrubieszw.pl;50.8053;23.8894;3;0;;2026-07-16T08:11:16.634Z;2026-08-14T08:11:16.634Z
hosp_50;SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ W DZIAŁDOWIE;Działdowo;ul. Leśna 1, 13-200 Działdowo;Warmińsko-Mazurskie;C;key_account;+48 89 216 88 70;office@spzoz-dziadowo.pl;www.spzoz-dziadowo.pl;53.2333;20.1833;3;0;;2026-06-01T08:11:16.634Z;2026-08-14T08:11:16.634Z
hosp_51;SZPITAL MIEJSKI ŚW. JANA PAWŁA II W ELBLĄGU;Elbląg;ul. Komeńskiego 35, 82-300 Elbląg;Warmińsko-Mazurskie;B;active;+48 89 165 57 76;office@spzoz-elblg.pl;www.spzoz-elblg.pl;54.1561;19.4044;4;4;;2026-05-31T08:11:16.634Z;2026-08-18T08:11:16.634Z
hosp_52;WOJEWÓDZKI SZPITAL ZESPOLONY W ELBLĄGU;Elbląg;ul. Królewiecka 146, 82-300 Elbląg;Warmińsko-Mazurskie;A;prospect;+48 89 245 32 51;office@spzoz-elblg.pl;www.spzoz-elblg.pl;54.167;19.42;8;15;;2026-05-30T08:11:16.634Z;2026-08-17T08:11:16.634Z
hosp_53;"PRO-MEDICA" W EŁKU SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;Ełk;ul. Baranki 24, 19-300 Ełk;Warmińsko-Mazurskie;B;prospect;+48 89 462 56 70;office@spzoz-ek.pl;www.spzoz-ek.pl;53.8233;22.35;4;8;;2026-05-29T08:11:16.634Z;2026-08-16T08:11:16.634Z
hosp_54;118 SZPITAL WOJSKOWY Z PRZYCHODNIĄ SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ W EŁKU;Ełk;ul. Tadeusza Kościuszki 30, 19-300 Ełk;Warmińsko-Mazurskie;A;prospect;+48 89 715 87 87;office@spzoz-ek.pl;www.spzoz-ek.pl;53.8278;22.3603;6;7;;2026-05-28T08:11:16.634Z;2026-08-15T08:11:16.634Z
hosp_55;GIŻYCKA OCHRONA ZDROWIA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;Giżycko;ul. Warszawska 41, 11-500 Giżycko;Warmińsko-Mazurskie;B;prospect;+48 89 118 45 59;office@spzoz-giycko.pl;www.spzoz-giycko.pl;54.0389;21.7706;4;4;;2026-05-27T08:11:16.634Z;2026-08-14T08:11:16.634Z
hosp_56;GOLDMEDICA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;Gołdap;ul. Słoneczna 7, 19-500 Gołdap;Warmińsko-Mazurskie;C;active;+48 89 604 20 96;office@spzoz-godap.pl;www.spzoz-godap.pl;54.3069;22.3025;3;0;;2026-05-26T08:11:16.634Z;2026-08-18T08:11:16.634Z
hosp_57;POWIATOWY SZPITAL IM. WŁADYSŁAWA BIEGAŃSKIEGO W IŁAWIE;Iława;ul. Gen. Władysława Andersa 3, 14-200 Iława;Warmińsko-Mazurskie;C;key_account;+48 89 152 95 72;office@spzoz-iawa.pl;www.spzoz-iawa.pl;53.5958;19.5672;3;0;;2026-05-25T08:11:16.634Z;2026-08-17T08:11:16.634Z
hosp_58;SZPITAL POWIATOWY W KĘTRZYNIE;Kętrzyn;ul. M.C. Skłodowskiej 2, 11-400 Kętrzyn;Warmińsko-Mazurskie;C;prospect;+48 89 307 47 69;office@spzoz-ktrzyn.pl;www.spzoz-ktrzyn.pl;54.0756;21.3756;3;0;;2026-05-24T08:11:16.634Z;2026-08-16T08:11:16.634Z
hosp_59;SZPITAL MIEJSKI W MORĄGU SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;Morąg;ul. Dąbrowskiego 16, 14-300 Morąg;Warmińsko-Mazurskie;C;prospect;+48 89 530 74 32;office@spzoz-morg.pl;www.spzoz-morg.pl;53.9167;19.9333;3;0;;2026-05-23T08:11:16.634Z;2026-08-15T08:11:16.634Z
hosp_6;SAMODZIELNY PUBLICZNY ZESPÓŁ ZAKŁADÓW OPIEKI ZDROWOTNEJ W JANOWIE LUBELSKIM;Janów Lubelski;ul. Jana Zamoyskiego 149, 23-300 Janów Lubelski;Lubelskie;C;active;+48 81 914 99 46;office@spzoz-janwlubelski.pl;www.spzoz-janwlubelski.pl;50.7083;22.4167;3;0;;2026-07-15T08:11:16.634Z;2026-08-18T08:11:16.634Z
hosp_60;SZPITAL MRĄGOWSKI IM. MICHAŁA KAJKI SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;Mrągowo;ul. Wolności 3, 11-700 Mrągowo;Warmińsko-Mazurskie;C;prospect;+48 89 572 40 10;office@spzoz-mrgowo.pl;www.spzoz-mrgowo.pl;53.8667;21.3;3;0;;2026-05-22T08:11:16.634Z;2026-08-14T08:11:16.634Z
hosp_61;ZESPÓŁ OPIEKI ZDROWOTNEJ W NIDZICY;Nidzica;ul. Mickiewicza 25, 13-100 Nidzica;Warmińsko-Mazurskie;C;active;+48 89 450 87 26;office@spzoz-nidzica.pl;www.spzoz-nidzica.pl;53.3592;20.4286;3;0;;2026-07-20T08:11:16.634Z;2026-08-18T08:11:16.634Z
hosp_62;SZPITAL POWIATOWY W NOWYM MIEŚCIE LUBAWSKIM SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;Nowe Miasto Lubawskie;ul. Mickiewicza 10, 13-300 Nowe Miasto Lubawskie;Warmińsko-Mazurskie;C;prospect;+48 89 834 83 47;office@spzoz-nowemiastolubawskie.pl;www.spzoz-nowemiastolubawskie.pl;53.4167;19.5833;3;0;;2026-07-19T08:11:16.634Z;2026-08-17T08:11:16.634Z
hosp_63;"OLMEDICA W OLECKU - SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ";Olecko;ul. Gołdapska 1, 19-400 Olecko;Warmińsko-Mazurskie;C;prospect;+48 89 670 17 37;office@spzoz-olecko.pl;www.spzoz-olecko.pl;54.0333;22.5;3;0;;2026-07-18T08:11:16.634Z;2026-08-16T08:11:16.634Z
hosp_64;MIEJSKI SZPITAL ZESPOLONY W OLSZTYNIE;Olsztyn;ul. Niepodległości 44, 10-045 Olsztyn;Warmińsko-Mazurskie;B;key_account;+48 89 550 23 86;office@spzoz-olsztyn.pl;www.spzoz-olsztyn.pl;53.7756;20.4842;4;1;;2026-07-17T08:11:16.634Z;2026-08-15T08:11:16.634Z
hosp_65;SZPITAL KLINICZNY MINISTERSTWA SPRAW WEWNĘTRZNYCH I ADMINISTRACJI Z WARMIŃSKO-MAZURSKIM CENTRUM ONKOLOGII W OLSZTYNIE;Olsztyn;ul. Wojska Polskiego 37, 10-228 Olsztyn;Warmińsko-Mazurskie;A;prospect;+48 89 486 49 17;office@spzoz-olsztyn.pl;www.spzoz-olsztyn.pl;53.785;20.475;5;3;;2026-07-16T08:11:16.634Z;2026-08-14T08:11:16.634Z
hosp_66;UNIWERSYTECKI SZPITAL KLINICZNY W OLSZNIE;Olsztyn;Aleja Warszawska 30, 10-082 Olsztyn;Warmińsko-Mazurskie;B;active;+48 89 611 65 59;office@spzoz-olsztyn.pl;www.spzoz-olsztyn.pl;53.769;20.47;4;0;;2026-07-15T08:11:16.634Z;2026-08-18T08:11:16.634Z
hosp_67;WARMIŃSKO-MAZURSKIE CENTRUM CHORÓB PŁUC W OLSZTYNIE;Olsztyn;ul. Jagiellońska 78, 10-357 Olsztyn;Warmińsko-Mazurskie;C;prospect;+48 89 709 76 71;office@spzoz-olsztyn.pl;www.spzoz-olsztyn.pl;53.79;20.5;3;0;;2026-07-14T08:11:16.634Z;2026-08-17T08:11:16.634Z
hosp_68;WOJEWÓDZKI SPECJALISTYCZNY SZPITAL DZIECIĘCY IM. PROF. DR STANISŁAWA POPOWSKIEGO W OLSZTYNIE;Olsztyn;ul. Żołnierska 18A, 10-561 Olsztyn;Warmińsko-Mazurskie;C;prospect;+48 89 945 13 96;office@spzoz-olsztyn.pl;www.spzoz-olsztyn.pl;53.7744;20.496;3;0;;2026-07-13T08:11:16.634Z;2026-08-16T08:11:16.634Z
hosp_69;WOJEWÓDZKI SZPITAL SPECJALISTYCZNY W OLSZTYNIE;Olsztyn;ul. Żołnierska 18, 10-561 Olsztyn;Warmińsko-Mazurskie;A;prospect;+48 89 123 73 11;office@spzoz-olsztyn.pl;www.spzoz-olsztyn.pl;53.7739;20.495;8;4;;2026-07-12T08:11:16.634Z;2026-08-15T08:11:16.634Z
hosp_7;SAMODZIELNY PUBLICZNY ZESPÓŁ OPIEKI ZDROWOTNEJ W KRASNYMSTAWIE;Krasnystaw;ul. Głowackiego 3, 22-300 Krasnystaw;Lubelskie;B;prospect;+48 81 932 28 93;office@spzoz-krasnystaw.pl;www.spzoz-krasnystaw.pl;50.9833;23.1667;4;0;;2026-07-14T08:11:16.634Z;2026-08-17T08:11:16.634Z
hosp_70;SZPITAL W OSTRÓDZIE SPÓŁKA AKCYJNA;Ostróda;ul. Jagiełły 1, 14-100 Ostróda;Warmińsko-Mazurskie;C;prospect;+48 89 301 76 48;office@spzoz-ostrda.pl;www.spzoz-ostrda.pl;53.6958;19.9694;3;0;;2026-07-11T08:11:16.634Z;2026-08-14T08:11:16.634Z
